="enr_4year specification and forecast bias tests results"

="",="g11_enr_4year_r",="g11_enr_4year_r_peer",="g11_enr_4year_r",="g11_enr_4year_r_peer",="g11_enr_4year_r",="g11_enr_4year_r_peer",="g11_enr_4year_r",="g11_enr_4year_r_peer"

="Specification Test:",="ref.",="",="ref.",="",="ref.",="",="ref.",=""

="va_cfr_g11_enr_4year",="1.000",="",="1.024",="",="1.024",="",="1.032",=""
="",="(0.005)",="",="(0.006)",="",="(0.006)",="",="(0.009)",=""

="va_cfr_g11_enr_4year_peer",="",="1.009",="",="1.023",="",="1.040",="",="1.038"
="",="",="(0.008)",="",="(0.011)",="",="(0.017)",="",="(0.017)"

="N",="1249303",="1249303",="423434",="423434",="423434",="423244",="423434",="423244"
="b_fb_score",="",="",="0.008",="0.004",="",="",="",=""
="se_fb_score",="",="",="0.001",="0.002",="",="",="",=""
="b_fb_sibling",="",="",="0.026",="0.025",="",="",="",=""
="se_fb_sibling",="",="",="0.001",="0.001",="",="",="",=""
="b_fb_acs",="",="",="0.170",="0.065",="0.167",="0.061",="",=""
="se_fb_acs",="",="",="0.014",="0.010",="0.014",="0.011",="",=""
="b_fb_score_acs_sibling",="",="",="0.195",="0.090",="",="",="",=""
="se_fb_score_acs_sibling",="",="",="0.013",="0.009",="",="",="",=""
="sample",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="control",="base",="base",="base",="base",="leave out score & sibling",="leave out score & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="peer",="N",="Y",="N",="Y",="N",="Y",="N",="Y"

="Standard errors in parentheses"
