="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.003)",="(0.004)",="(0.005)",="(0.004)",="(0.005)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score",="-0.008***",="-0.010***",="-0.010***",="-0.012***",="-0.010***",="-0.012***",="-0.027***",="-0.031***",="-0.026***",="-0.029***",="-0.027***",="-0.030***",="0.019***",="0.020***",="0.016***",="0.017***",="0.017***",="0.018***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.002)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score",="-0.011***",="-0.013***",="-0.013***",="-0.015***",="-0.014***",="-0.015***",="-0.030***",="-0.032***",="-0.031***",="-0.034***",="-0.032***",="-0.034***",="0.018***",="0.019***",="0.018***",="0.019***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score",="-0.007***",="-0.008***",="-0.011***",="-0.013***",="-0.012***",="-0.013***",="-0.023***",="-0.025***",="-0.024***",="-0.026***",="-0.025***",="-0.026***",="0.016***",="0.017***",="0.012***",="0.013***",="0.013***",="0.014***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score",="0.002*",="0.001",="-0.000",="-0.001",="-0.000",="-0.001",="-0.031***",="-0.033***",="-0.032***",="-0.035***",="-0.033***",="-0.035***",="0.032***",="0.034***",="0.032***",="0.034***",="0.033***",="0.035***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.001*",="-0.001",="-0.001",="-0.000",="-0.001",="-0.000",="0.009***",="0.010***",="0.009***",="0.010***",="0.009***",="0.010***",="-0.010***",="-0.010***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.000",="0.000",="0.000",="0.001",="0.001",="0.001",="0.010***",="0.010***",="0.011***",="0.011***",="0.011***",="0.012***",="-0.010***",="-0.010***",="-0.010***",="-0.011***",="-0.011***",="-0.011***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.001**",="-0.001**",="-0.000",="-0.000",="-0.000",="-0.000",="0.008***",="0.008***",="0.009***",="0.009***",="0.009***",="0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_math_z_score#c.prior_math_z_score#c.prior_math_z_score",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="-0.007***",="0.001*",="0.001",="0.003**",="0.003*",="0.003**",="0.003*",="-0.008***",="-0.008***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="10.prior_ela_z_score_xtile#c.va_dk_enr_b_sp_b_ct_p",="",="0.029***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_las_sp_b_ct",="",="",="0.023***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_las_sp_b_ct_p",="",="",="",="0.021***",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_las_sp_las_ct",="",="",="",="",="0.024***",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_las_sp_las_ct_p",="",="",="",="",="",="0.021***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_b_sp_b_ct",="",="",="",="",="",="",="0.058***",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_b_sp_b_ct_p",="",="",="",="",="",="",="",="0.050***",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_las_sp_b_ct",="",="",="",="",="",="",="",="",="0.058***",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="(0.002)",="",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_las_sp_b_ct_p",="",="",="",="",="",="",="",="",="",="0.049***",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="(0.003)",="",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_las_sp_las_ct",="",="",="",="",="",="",="",="",="",="",="0.055***",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_2year_las_sp_las_ct_p",="",="",="",="",="",="",="",="",="",="",="",="0.043***",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_b_sp_b_ct",="",="",="",="",="",="",="",="",="",="",="",="",="0.058***",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_b_sp_b_ct_p",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.051***",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_las_sp_b_ct",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.055***",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_las_sp_b_ct_p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.048***",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)",="",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_las_sp_las_ct",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.054***",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",=""

="10.prior_ela_z_score_xtile#c.va_dk_enr_4year_las_sp_las_ct_p",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.039***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.003)"

="_cons",="1.824***",="1.907***",="1.684***",="1.717***",="1.680***",="1.713***",="1.008***",="1.093***",="0.849***",="0.898***",="0.856***",="0.901***",="0.828***",="0.818***",="0.846***",="0.829***",="0.834***",="0.821***"
="",="(0.022)",="(0.035)",="(0.035)",="(0.036)",="(0.035)",="(0.037)",="(0.021)",="(0.035)",="(0.035)",="(0.038)",="(0.036)",="(0.039)",="(0.016)",="(0.017)",="(0.031)",="(0.032)",="(0.032)",="(0.035)"

="N",="1251284",="1251284",="423628",="423628",="423628",="423543",="1251284",="1251284",="423628",="423628",="423628",="423543",="1251284",="1251284",="423628",="423628",="423628",="423543"
="va_peer_controls",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y",="N",="Y"
="va_sample",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="va_control",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="Y Mean",=".703",=".703",=".732",=".732",=".732",=".733",=".375",=".375",=".36",=".36",=".36",=".36",=".328",=".328",=".372",=".372",=".372",=".373"
="$ R^2 $",=".134",=".128",=".135",=".128",=".133",=".127",=".0801",=".0697",=".0891",=".0766",=".0852",=".0715",=".258",=".252",=".262",=".257",=".26",=".249"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
