="Regressing Enrollment on DK VA, Heterogeneity by Prior ela score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer"

="1.prior_ela_z_score_xtile#c.va_dk_enr",="0.084***",="0.073***",="0.076***",="0.063***",="0.071***",="0.060***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="",="",="",="",="",="",="",="",="",="",="",=""

="2.prior_ela_z_score_xtile#c.va_dk_enr",="0.089***",="0.075***",="0.079***",="0.065***",="0.075***",="0.062***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="3.prior_ela_z_score_xtile#c.va_dk_enr",="0.087***",="0.071***",="0.076***",="0.059***",="0.071***",="0.057***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="4.prior_ela_z_score_xtile#c.va_dk_enr",="0.081***",="0.067***",="0.073***",="0.058***",="0.068***",="0.055***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="5.prior_ela_z_score_xtile#c.va_dk_enr",="0.079***",="0.064***",="0.068***",="0.053***",="0.064***",="0.051***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="6.prior_ela_z_score_xtile#c.va_dk_enr",="0.075***",="0.060***",="0.064***",="0.049***",="0.060***",="0.047***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="",="",="",="",="",="",="",="",="",="",="",=""

="7.prior_ela_z_score_xtile#c.va_dk_enr",="0.070***",="0.055***",="0.061***",="0.049***",="0.057***",="0.047***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",=""

