="Regressing Enrollment on DK VA, Heterogeneity by Prior math score decile"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="2.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.059***",="0.052***",="0.062***",="0.054***",="0.061***",="0.043***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="3.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.072***",="0.064***",="0.076***",="0.068***",="0.075***",="0.057***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="4.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.081***",="0.072***",="0.081***",="0.072***",="0.079***",="0.059***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="5.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.087***",="0.076***",="0.085***",="0.075***",="0.082***",="0.059***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="6.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.092***",="0.081***",="0.091***",="0.082***",="0.088***",="0.067***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="7.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.094***",="0.083***",="0.092***",="0.081***",="0.088***",="0.066***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="8.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.091***",="0.079***",="0.089***",="0.078***",="0.085***",="0.065***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="9.prior_math_z_score_xtile#c.va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="0.084***",="0.073***",="0.081***",="0.070***",="0.077***",="0.056***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="10.prior_math_z_score_xtile#c.va_dk_enr_b_sp_b_ct",="0.034***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="2015.year",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2016.year",="0.011***",="0.010***",="0.010*",="0.008*",="0.010*",="0.008",="-0.006",="-0.006",="-0.006",="-0.007",="-0.006",="-0.007",="0.016***",="0.016***",="0.014***",="0.015***",="0.015***",="0.015***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.004)"

="2017.year",="-0.015***",="-0.014***",="-0.015***",="-0.014***",="-0.014***",="-0.014***",="-0.028***",="-0.027***",="-0.032***",="-0.030***",="-0.032***",="-0.030***",="0.011***",="0.012***",="0.013**",="0.014***",="0.014***",="0.015***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2018.year",="-0.026***",="-0.026***",="-0.024***",="-0.025***",="-0.024***",="-0.026***",="-0.005",="-0.005",="-0.002",="-0.001",="-0.002",="-0.002",="-0.022***",="-0.023***",="-0.027***",="-0.027***",="-0.026***",="-0.026***"
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.004)",="(0.004)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="age",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***",="-0.000***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="0.male",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.male",="-0.080***",="-0.080***",="-0.073***",="-0.073***",="-0.073***",="-0.073***",="0.013***",="0.014***",="0.024***",="0.025***",="0.025***",="0.025***",="-0.093***",="-0.094***",="-0.098***",="-0.098***",="-0.098***",="-0.098***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)"

="0.eth_asian",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_asian",="0.066***",="0.076***",="0.054***",="0.060***",="0.057***",="0.060***",="-0.027***",="-0.022***",="-0.026***",="-0.015**",="-0.019***",="-0.015**",="0.093***",="0.100***",="0.080***",="0.077***",="0.077***",="0.076***"
="",="(0.003)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.004)",="(0.005)",="(0.004)",="(0.005)",="(0.003)",="(0.004)",="(0.004)",="(0.005)",="(0.005)",="(0.006)"

="0.eth_hispanic",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_hispanic",="-0.004",="-0.004",="-0.023***",="-0.031***",="-0.029***",="-0.031***",="0.016***",="0.002",="0.013***",="-0.005",="0.005",="-0.005",="-0.019***",="-0.005",="-0.034***",="-0.025***",="-0.033***",="-0.025***"
="",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.004)",="(0.003)",="(0.004)",="(0.002)",="(0.003)",="(0.003)",="(0.004)",="(0.003)",="(0.004)"

="0.eth_black",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_black",="0.019***",="0.013**",="0.008",="-0.004",="0.004",="-0.004",="-0.010***",="-0.038***",="-0.013**",="-0.038***",="-0.022***",="-0.037***",="0.029***",="0.052***",="0.022***",="0.034***",="0.027***",="0.035***"
="",="(0.003)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.004)",="(0.005)",="(0.006)",="(0.005)",="(0.006)",="(0.004)",="(0.004)",="(0.005)",="(0.006)",="(0.005)",="(0.006)"

="0.eth_other",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.eth_other",="-0.008**",="-0.009**",="-0.010**",="-0.011**",="-0.010*",="-0.011**",="-0.004",="-0.006*",="-0.002",="-0.002",="-0.000",="0.000",="-0.004",="-0.002",="-0.008",="-0.009",="-0.009*",="-0.011*"
="",="(0.003)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.004)",="(0.005)",="(0.005)",="(0.005)"

="0.econ_disadvantage",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.econ_disadvantage",="-0.055***",="-0.068***",="-0.055***",="-0.068***",="-0.062***",="-0.068***",="-0.014***",="-0.026***",="-0.008***",="-0.022***",="-0.010***",="-0.021***",="-0.041***",="-0.042***",="-0.045***",="-0.047***",="-0.051***",="-0.047***"
="",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.003)",="(0.002)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.limited_eng_prof",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.limited_eng_prof",="-0.064***",="-0.055***",="-0.075***",="-0.069***",="-0.073***",="-0.069***",="-0.031***",="-0.021***",="-0.037***",="-0.028***",="-0.034***",="-0.026***",="-0.032***",="-0.034***",="-0.039***",="-0.041***",="-0.039***",="-0.044***"
="",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="0.disabled",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000",="0.000"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.disabled",="-0.032***",="-0.024***",="-0.036***",="-0.029***",="-0.032***",="-0.028***",="0.021***",="0.026***",="0.032***",="0.034***",="0.032***",="0.032***",="-0.051***",="-0.049***",="-0.065***",="-0.062***",="-0.063***",="-0.059***"
="",="(0.003)",="(0.003)",="(0.004)",="(0.005)",="(0.005)",="(0.005)",="(0.003)",="(0.003)",="(0.005)",="(0.005)",="(0.005)",="(0.005)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_ela_z_score",="0.053***",="0.056***",="0.054***",="0.058***",="0.057***",="0.058***",="-0.044***",="-0.040***",="-0.049***",="-0.043***",="-0.048***",="-0.043***",="0.096***",="0.096***",="0.101***",="0.101***",="0.102***",="0.101***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_ela_z_score",="0.050***",="0.054***",="0.050***",="0.054***",="0.051***",="0.055***",="-0.037***",="-0.035***",="-0.043***",="-0.040***",="-0.041***",="-0.040***",="0.090***",="0.090***",="0.095***",="0.094***",="0.095***",="0.095***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_ela_z_score",="0.057***",="0.059***",="0.062***",="0.065***",="0.065***",="0.066***",="-0.039***",="-0.035***",="-0.038***",="-0.034***",="-0.038***",="-0.035***",="0.094***",="0.094***",="0.098***",="0.099***",="0.100***",="0.100***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2018.year#c.prior_ela_z_score",="0.062***",="0.066***",="0.068***",="0.072***",="0.069***",="0.072***",="-0.026***",="-0.024***",="-0.029***",="-0.026***",="-0.028***",="-0.026***",="0.088***",="0.090***",="0.096***",="0.097***",="0.097***",="0.098***"
="",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.006***",="-0.007***",="-0.004**",="-0.006***",="-0.005**",="-0.006***",="-0.028***",="-0.030***",="-0.026***",="-0.030***",="-0.028***",="-0.030***",="0.021***",="0.023***",="0.022***",="0.024***",="0.023***",="0.025***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.006***",="-0.007***",="-0.009***",="-0.011***",="-0.010***",="-0.011***",="-0.023***",="-0.026***",="-0.027***",="-0.030***",="-0.028***",="-0.030***",="0.018***",="0.019***",="0.017***",="0.019***",="0.018***",="0.019***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.005***",="-0.006***",="-0.007***",="-0.009***",="-0.008***",="-0.009***",="-0.025***",="-0.028***",="-0.027***",="-0.030***",="-0.028***",="-0.031***",="0.020***",="0.022***",="0.019***",="0.021***",="0.020***",="0.022***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score",="-0.009***",="-0.010***",="-0.012***",="-0.013***",="-0.012***",="-0.013***",="-0.029***",="-0.030***",="-0.031***",="-0.033***",="-0.032***",="-0.033***",="0.019***",="0.020***",="0.019***",="0.020***",="0.019***",="0.020***"
="",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002***",="-0.002***",="-0.003***",="-0.002***",="-0.003***",="-0.002***",="0.006***",="0.006***",="0.006***",="0.006***",="0.006***",="0.007***",="-0.008***",="-0.008***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)"

="2016.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.001***",="-0.001***",="-0.000",="-0.000",="-0.000",="-0.000",="0.005***",="0.005***",="0.006***",="0.007***",="0.007***",="0.007***",="-0.006***",="-0.006***",="-0.007***",="-0.007***",="-0.007***",="-0.007***"
="",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)",="(0.000)"

="2017.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.002***",="-0.002***",="-0.002**",="-0.002**",="-0.002**",="-0.002**",="0.006***",="0.006***",="0.007***",="0.007***",="0.007***",="0.007***",="-0.008***",="-0.008***",="-0.009***",="-0.009***",="-0.009***",="-0.009***"
="",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2018.year#c.prior_ela_z_score#c.prior_ela_z_score#c.prior_ela_z_score",="-0.004***",="-0.005***",="-0.005***",="-0.005***",="-0.005***",="-0.005***",="0.002***",="0.002***",="0.005***",="0.005***",="0.005***",="0.005***",="-0.007***",="-0.007***",="-0.010***",="-0.010***",="-0.010***",="-0.010***"
="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.000)",="(0.000)",="(0.001)",="(0.001)",="(0.001)",="(0.001)"

="2015.year#c.prior_math_z_score",="0.071***",="0.074***",="0.067***",="0.069***",="0.067***",="0.069***",="-0.069***",="-0.069***",="-0.073***",="-0.073***",="-0.074***",="-0.074***",="0.141***",="0.143***",="0.141***",="0.143***",="0.141***",="0.143***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.004)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2016.year#c.prior_math_z_score",="0.068***",="0.071***",="0.066***",="0.069***",="0.066***",="0.069***",="-0.067***",="-0.067***",="-0.072***",="-0.072***",="-0.073***",="-0.072***",="0.135***",="0.137***",="0.139***",="0.140***",="0.139***",="0.141***"
="",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)",="(0.002)",="(0.002)",="(0.003)",="(0.004)",="(0.004)",="(0.004)",="(0.002)",="(0.002)",="(0.003)",="(0.003)",="(0.003)",="(0.003)"

="2017.year#c.prior_math_z_score",="0.063***",="0.066***",="0.058***",="0.059***",="0.058***",="0.059***",="-0.068***",="-0.068***",="-0.074***",="-0.076***",="-0.075***",="-0.076***",="0.130***",="0.133***",="0.133***",="0.134***",="0.133***",="0.135***"
