="Regressing Enrollment on DK VA"

="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",="",="Base Sample Base Controls",="",="",="",="Kitchen Sink Sample Base Controls",="",="",="",="Kitchen Sink Sample Kitchen Sink Controls",="",="",=""
="",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer",="No Peer",="No Peer",="Peer",="Peer"

="va_dk_enr",="0.075***",="0.075***",="0.062***",="0.059***",="0.063***",="0.063***",="0.050***",="0.048***",="0.059***",="0.058***",="0.048***",="0.046***",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""
="",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",=""

="va_dk_enr_2year",="",="",="",="",="",="",="",="",="",="",="",="",="0.093***",="0.093***",="0.075***",="0.073***",="0.090***",="0.090***",="0.071***",="0.068***",="0.085***",="0.079***",="0.063***",="0.055***",="",="",="",="",="",="",="",="",="",="",="",=""
="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.001)",="",="",="",="",="",="",="",="",="",="",="",=""

="va_dk_enr_4year",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="0.076***",="0.076***",="0.066***",="0.063***",="0.077***",="0.077***",="0.067***",="0.064***",="0.074***",="0.068***",="0.055***",="0.048***"
="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="",="(0.001)",="(0.001)",="(0.001)",="(0.001)",="(0.002)",="(0.002)",="(0.002)",="(0.001)",="(0.002)",="(0.001)",="(0.002)",="(0.001)"

="N",="1275550",="1275550",="1275550",="1275550",="428233",="428233",="428233",="428233",="428233",="428233",="428147",="428050",="1275550",="1275550",="1275550",="1275550",="428233",="428233",="428233",="428233",="428233",="428233",="428147",="428050",="1275550",="1275550",="1275550",="1275550",="428233",="428233",="428233",="428233",="428233",="428233",="428147",="428050"
="va_peer_controls",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y",="N",="N",="Y",="Y"
="va_sample",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="va_control",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="base",="base",="base",="base",="base",="base",="base",="base",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling",="leave out score & ACS & sibling"
="Y Mean",=".699",=".699",=".699",=".699",=".73",=".73",=".73",=".73",=".73",=".73",=".73",=".73",=".374",=".374",=".374",=".374",=".36",=".36",=".36",=".36",=".36",=".36",=".36",=".36",=".325",=".325",=".325",=".325",=".37",=".37",=".37",=".37",=".37",=".37",=".37",=".37"
="$ R^2 $",=".133",=".133",=".127",=".136",=".132",=".132",=".125",=".135",=".13",=".137",=".124",=".139",=".0761",=".0761",=".0658",=".0756",=".0846",=".0846",=".0721",=".0844",=".0809",=".0879",=".0675",=".0897",=".251",=".251",=".245",=".251",=".254",=".254",=".249",=".255",=".252",=".267",=".242",=".269"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
