# M4 golden-master diff summary
# generated:  9 Jun 2026 20:48:20
# tier_filter: full
# rows_compared: 8324
# format: <STATUS>  <tier>  <filetype>  <consolidated_relpath>  <details>
#
PASS                    full    dta     data/cleaned/calschls/secondary/sec1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0414.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1718.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0405.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0506.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0607.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0708.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0809.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff0910.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1011.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1112.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1213.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/staff/staff1314.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/parent/parentqoiclean1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/parent/parentqoiclean1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/parent/parentqoiclean1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/parent/parentqoiclean1718.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/parent/parentqoiclean1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/secondary/secqoiclean1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/secondary/secqoiclean1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/secondary/secqoiclean1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/secondary/secqoiclean1718.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/secondary/secqoiclean1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/staff/staffqoiclean1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/staff/staffqoiclean1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/staff/staffqoiclean1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/staff/staffqoiclean1718.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/qoiclean/staff/staffqoiclean1819.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/responserate/parentresponserate.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/responserate/secresponserate.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/parent/trimparentdemo1415.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/parent/trimparentdemo1516.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/parent/trimparentdemo1617.dta  cf _all: 0 cumulative diffs
PASS                    full    dta     data/cleaned/calschls/demotrim/parent/trimparentdemo1718.dta  cf _all: 0 cumulative diffs
